D:\vkr_folder\venv\Scripts\python.exe D:\vkr_folder\classifiers\optimize\optimize.py
[I 2023-04-16 08:15:00,342] A new study created in memory with name: Test study
[I 2023-04-16 08:15:06,109] Trial 0 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 30157, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'n_estimators': 1970, 'max_depth': 1.9002577048933749}. Best is trial 0 with value: 0.5026593445370737.
[I 2023-04-16 08:30:11,230] Trial 189 finished with value: 0.6140444053762831 and parameters: {'criterion': 'entropy', 'min_samples_split': 707, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 361, 'max_depth': 1.3151477170705277}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:30:14,051] Trial 190 finished with value: 0.6066615941070089 and parameters: {'criterion': 'entropy', 'min_samples_split': 4474, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 637, 'max_depth': 1.8459300404809245}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:30:17,633] Trial 191 finished with value: 0.6120590181288871 and parameters: {'criterion': 'entropy', 'min_samples_split': 36, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 838, 'max_depth': 1.553068557308851}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:30:20,719] Trial 192 finished with value: 0.6105511446341141 and parameters: {'criterion': 'entropy', 'min_samples_split': 1705, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 702, 'max_depth': 1.1723950363218556}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:30:23,333] Trial 193 finished with value: 0.6268270036610648 and parameters: {'criterion': 'entropy', 'min_samples_split': 2760, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 607, 'max_depth': 1.4516609697580904}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:30:25,853] Trial 194 finished with value: 0.6041211869159466 and parameters: {'criterion': 'entropy', 'min_samples_split': 3275, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 560, 'max_depth': 1.3464045083053346}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:30:31,427] Trial 195 finished with value: 0.608407940918858 and parameters: {'criterion': 'entropy', 'min_samples_split': 2204, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 595, 'max_depth': 5.330871379475955}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:30:33,672] Trial 196 finished with value: 0.5993572657328116 and parameters: {'criterion': 'entropy', 'min_samples_split': 1411, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 486, 'max_depth': 1.720657052001635}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:30:36,466] Trial 197 finished with value: 0.6297646773410965 and parameters: {'criterion': 'log_loss', 'min_samples_split': 3772, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 650, 'max_depth': 1.1621172756957114}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:30:39,217] Trial 198 finished with value: 0.62055435830545 and parameters: {'criterion': 'log_loss', 'min_samples_split': 5505, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 645, 'max_depth': 1.118925682998966}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:30:40,968] Trial 199 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 21864, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 685, 'max_depth': 1.2461337183675842}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:30:48,065] Trial 200 finished with value: 0.6067380920874371 and parameters: {'criterion': 'log_loss', 'min_samples_split': 3846, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 409, 'max_depth': 13.254220005608323}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:30:50,644] Trial 201 finished with value: 0.6212692741513701 and parameters: {'criterion': 'log_loss', 'min_samples_split': 39, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 611, 'max_depth': 1.4433640039543665}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:30:53,089] Trial 202 finished with value: 0.6022957270773864 and parameters: {'criterion': 'log_loss', 'min_samples_split': 2349, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 539, 'max_depth': 1.1303827766333185}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:30:55,940] Trial 203 finished with value: 0.5991183828301733 and parameters: {'criterion': 'log_loss', 'min_samples_split': 4622, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 662, 'max_depth': 1.0105074912083434}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:30:58,498] Trial 204 finished with value: 0.5981663169436094 and parameters: {'criterion': 'entropy', 'min_samples_split': 3031, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 578, 'max_depth': 1.349879557666044}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:31:02,116] Trial 205 finished with value: 0.6072174962349635 and parameters: {'criterion': 'entropy', 'min_samples_split': 1065, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 634, 'max_depth': 2.1015188925742976}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:31:05,296] Trial 206 finished with value: 0.6216660050284505 and parameters: {'criterion': 'entropy', 'min_samples_split': 6079, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 745, 'max_depth': 1.636238570049233}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:31:07,584] Trial 207 finished with value: 0.6280962463058534 and parameters: {'criterion': 'entropy', 'min_samples_split': 3829, 'min_samples_leaf': 8, 'max_features': 'log2', 'n_estimators': 504, 'max_depth': 1.9000894213342578}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:31:09,797] Trial 208 finished with value: 0.6337334669212398 and parameters: {'criterion': 'entropy', 'min_samples_split': 4366, 'min_samples_leaf': 8, 'max_features': 'log2', 'n_estimators': 472, 'max_depth': 1.8612886623103044}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:31:12,828] Trial 209 finished with value: 0.5568832429094438 and parameters: {'criterion': 'entropy', 'min_samples_split': 5151, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'n_estimators': 448, 'max_depth': 1.9466317847104242}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:31:14,197] Trial 210 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 6820, 'min_samples_leaf': 7, 'max_features': 'log2', 'n_estimators': 490, 'max_depth': 2.1807743973643317}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:31:16,316] Trial 211 finished with value: 0.6290495724556859 and parameters: {'criterion': 'entropy', 'min_samples_split': 4103, 'min_samples_leaf': 8, 'max_features': 'log2', 'n_estimators': 425, 'max_depth': 1.7651160121400786}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:31:18,643] Trial 212 finished with value: 0.5966563640144426 and parameters: {'criterion': 'entropy', 'min_samples_split': 4075, 'min_samples_leaf': 8, 'max_features': 'log2', 'n_estimators': 382, 'max_depth': 2.4718720558058904}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:31:20,731] Trial 213 finished with value: 0.6180153374039837 and parameters: {'criterion': 'entropy', 'min_samples_split': 4204, 'min_samples_leaf': 8, 'max_features': 'log2', 'n_estimators': 430, 'max_depth': 1.7704958514631115}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:31:22,336] Trial 214 finished with value: 0.6021351380303346 and parameters: {'criterion': 'entropy', 'min_samples_split': 5708, 'min_samples_leaf': 8, 'max_features': 'log2', 'n_estimators': 330, 'max_depth': 1.6723026511443448}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:31:27,878] Trial 215 finished with value: 0.5986414361960214 and parameters: {'criterion': 'entropy', 'min_samples_split': 3448, 'min_samples_leaf': 8, 'max_features': 'log2', 'n_estimators': 500, 'max_depth': 6.993109436012332}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:31:30,586] Trial 216 finished with value: 0.6026923319281398 and parameters: {'criterion': 'entropy', 'min_samples_split': 4867, 'min_samples_leaf': 8, 'max_features': 'log2', 'n_estimators': 458, 'max_depth': 2.7720382135312915}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:31:32,911] Trial 217 finished with value: 0.6108673446883054 and parameters: {'criterion': 'entropy', 'min_samples_split': 986, 'min_samples_leaf': 8, 'max_features': 'log2', 'n_estimators': 524, 'max_depth': 1.962317423440257}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:31:34,128] Trial 218 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 7993, 'min_samples_leaf': 8, 'max_features': 'log2', 'n_estimators': 387, 'max_depth': 1.1961749571957654}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:31:40,294] Trial 219 finished with value: 0.6048332986760935 and parameters: {'criterion': 'entropy', 'min_samples_split': 2967, 'min_samples_leaf': 7, 'max_features': 'log2', 'n_estimators': 459, 'max_depth': 8.691638863893012}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:31:42,711] Trial 220 finished with value: 0.6329399421539159 and parameters: {'criterion': 'log_loss', 'min_samples_split': 1882, 'min_samples_leaf': 8, 'max_features': 'log2', 'n_estimators': 529, 'max_depth': 1.5512861629498147}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:31:45,074] Trial 221 finished with value: 0.5928455799416498 and parameters: {'criterion': 'log_loss', 'min_samples_split': 1978, 'min_samples_leaf': 8, 'max_features': 'log2', 'n_estimators': 519, 'max_depth': 1.5187449464300526}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:31:54,198] Trial 222 finished with value: 0.6044394664045318 and parameters: {'criterion': 'log_loss', 'min_samples_split': 784, 'min_samples_leaf': 8, 'max_features': 'log2', 'n_estimators': 1720, 'max_depth': 2.2239154675658908}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:31:56,626] Trial 223 finished with value: 0.6106316754570029 and parameters: {'criterion': 'log_loss', 'min_samples_split': 3694, 'min_samples_leaf': 8, 'max_features': 'log2', 'n_estimators': 570, 'max_depth': 1.3230890576787393}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:32:01,247] Trial 224 finished with value: 0.6035667655973332 and parameters: {'criterion': 'log_loss', 'min_samples_split': 2384, 'min_samples_leaf': 3, 'max_features': 'log2', 'n_estimators': 548, 'max_depth': 4.137151287089632}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:32:19,055] Trial 225 finished with value: 0.6255484665746674 and parameters: {'criterion': 'log_loss', 'min_samples_split': 1164, 'min_samples_leaf': 8, 'max_features': 'log2', 'n_estimators': 429, 'max_depth': 1754.2469262542293}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:32:21,239] Trial 226 finished with value: 0.60713724897131 and parameters: {'criterion': 'entropy', 'min_samples_split': 115, 'min_samples_leaf': 8, 'max_features': 'log2', 'n_estimators': 497, 'max_depth': 1.7343729092486286}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:32:28,529] Trial 227 finished with value: 0.6061831981700977 and parameters: {'criterion': 'entropy', 'min_samples_split': 4873, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 482, 'max_depth': 450.9259821750289}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:32:31,412] Trial 228 finished with value: 0.630558139095257 and parameters: {'criterion': 'entropy', 'min_samples_split': 2960, 'min_samples_leaf': 7, 'max_features': 'log2', 'n_estimators': 667, 'max_depth': 1.178362953532028}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:32:34,225] Trial 229 finished with value: 0.6311145453285192 and parameters: {'criterion': 'entropy', 'min_samples_split': 3426, 'min_samples_leaf': 7, 'max_features': 'log2', 'n_estimators': 676, 'max_depth': 1.5011169707713756}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:32:37,094] Trial 230 finished with value: 0.6199999684934182 and parameters: {'criterion': 'entropy', 'min_samples_split': 2945, 'min_samples_leaf': 7, 'max_features': 'log2', 'n_estimators': 676, 'max_depth': 1.5019056759494573}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:32:40,051] Trial 231 finished with value: 0.6223807003282986 and parameters: {'criterion': 'entropy', 'min_samples_split': 4008, 'min_samples_leaf': 6, 'max_features': 'log2', 'n_estimators': 712, 'max_depth': 1.8637478132773617}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:32:42,883] Trial 232 finished with value: 0.6195239040435547 and parameters: {'criterion': 'entropy', 'min_samples_split': 5974, 'min_samples_leaf': 7, 'max_features': 'log2', 'n_estimators': 664, 'max_depth': 1.1121199073323838}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:32:45,625] Trial 233 finished with value: 0.6283350661953283 and parameters: {'criterion': 'entropy', 'min_samples_split': 1926, 'min_samples_leaf': 6, 'max_features': 'log2', 'n_estimators': 618, 'max_depth': 1.3231485547187258}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:32:48,440] Trial 234 finished with value: 0.6074547723019339 and parameters: {'criterion': 'entropy', 'min_samples_split': 1735, 'min_samples_leaf': 5, 'max_features': 'log2', 'n_estimators': 643, 'max_depth': 1.2942182868347145}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:32:50,110] Trial 235 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 39645, 'min_samples_leaf': 6, 'max_features': 'log2', 'n_estimators': 616, 'max_depth': 1.4911597539035468}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:32:52,594] Trial 236 finished with value: 0.6032467532467531 and parameters: {'criterion': 'entropy', 'min_samples_split': 2473, 'min_samples_leaf': 7, 'max_features': 'log2', 'n_estimators': 587, 'max_depth': 1.0069472562389752}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:32:55,520] Trial 237 finished with value: 0.6309543658670296 and parameters: {'criterion': 'entropy', 'min_samples_split': 1397, 'min_samples_leaf': 6, 'max_features': 'log2', 'n_estimators': 699, 'max_depth': 1.225372598056756}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:32:58,673] Trial 238 finished with value: 0.6222216235971694 and parameters: {'criterion': 'entropy', 'min_samples_split': 59, 'min_samples_leaf': 7, 'max_features': 'log2', 'n_estimators': 728, 'max_depth': 1.16972513093832}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:33:01,956] Trial 239 finished with value: 0.6142035136139941 and parameters: {'criterion': 'entropy', 'min_samples_split': 1198, 'min_samples_leaf': 7, 'max_features': 'log2', 'n_estimators': 797, 'max_depth': 1.580424142101104}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:33:04,875] Trial 240 finished with value: 0.6081692785622917 and parameters: {'criterion': 'entropy', 'min_samples_split': 3118, 'min_samples_leaf': 6, 'max_features': 'log2', 'n_estimators': 685, 'max_depth': 1.239660087710407}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:33:08,192] Trial 241 finished with value: 0.6108678803001947 and parameters: {'criterion': 'entropy', 'min_samples_split': 1707, 'min_samples_leaf': 6, 'max_features': 'log2', 'n_estimators': 762, 'max_depth': 1.346972219153478}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:33:31,750] Trial 242 finished with value: 0.623881894427746 and parameters: {'criterion': 'entropy', 'min_samples_split': 1319, 'min_samples_leaf': 5, 'max_features': 'log2', 'n_estimators': 659, 'max_depth': 48.16314301112966}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:33:34,720] Trial 243 finished with value: 0.622460033901082 and parameters: {'criterion': 'entropy', 'min_samples_split': 2173, 'min_samples_leaf': 7, 'max_features': 'log2', 'n_estimators': 719, 'max_depth': 1.1316349735100322}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:33:37,392] Trial 244 finished with value: 0.6081671046081526 and parameters: {'criterion': 'entropy', 'min_samples_split': 804, 'min_samples_leaf': 6, 'max_features': 'log2', 'n_estimators': 624, 'max_depth': 1.4049040661531427}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:34:08,705] Trial 245 finished with value: 0.6164220495661544 and parameters: {'criterion': 'entropy', 'min_samples_split': 3087, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 1286, 'max_depth': 25.31815790924507}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:34:13,332] Trial 246 finished with value: 0.6148384657554964 and parameters: {'criterion': 'entropy', 'min_samples_split': 2239, 'min_samples_leaf': 6, 'max_features': 'log2', 'n_estimators': 1182, 'max_depth': 1.654864783854773}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:34:16,217] Trial 247 finished with value: 0.6026923949413032 and parameters: {'criterion': 'log_loss', 'min_samples_split': 4826, 'min_samples_leaf': 6, 'max_features': 'log2', 'n_estimators': 678, 'max_depth': 1.2740656083651107}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:34:18,904] Trial 248 finished with value: 0.6316691871932046 and parameters: {'criterion': 'entropy', 'min_samples_split': 123, 'min_samples_leaf': 5, 'max_features': 'log2', 'n_estimators': 624, 'max_depth': 1.001660299114292}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:34:21,309] Trial 249 finished with value: 0.6138039786511402 and parameters: {'criterion': 'entropy', 'min_samples_split': 38, 'min_samples_leaf': 9, 'max_features': 'log2', 'n_estimators': 560, 'max_depth': 1.0331830253392482}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:34:25,832] Trial 250 finished with value: 0.6119014537136808 and parameters: {'criterion': 'entropy', 'min_samples_split': 1101, 'min_samples_leaf': 5, 'max_features': 'log2', 'n_estimators': 1130, 'max_depth': 1.1465339389576548}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:34:30,295] Trial 251 finished with value: 0.5555345721721267 and parameters: {'criterion': 'entropy', 'min_samples_split': 95, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'n_estimators': 715, 'max_depth': 1.555913361960625}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:34:33,080] Trial 252 finished with value: 0.6377031071790897 and parameters: {'criterion': 'entropy', 'min_samples_split': 3891, 'min_samples_leaf': 5, 'max_features': 'log2', 'n_estimators': 651, 'max_depth': 1.0246262353914497}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:34:35,942] Trial 253 finished with value: 0.6257149473525019 and parameters: {'criterion': 'entropy', 'min_samples_split': 4278, 'min_samples_leaf': 5, 'max_features': 'log2', 'n_estimators': 660, 'max_depth': 1.0146514811726237}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:34:39,186] Trial 254 finished with value: 0.6233333333333334 and parameters: {'criterion': 'entropy', 'min_samples_split': 5454, 'min_samples_leaf': 5, 'max_features': 'log2', 'n_estimators': 752, 'max_depth': 1.0099133684896662}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:34:41,032] Trial 255 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 14592, 'min_samples_leaf': 5, 'max_features': 'log2', 'n_estimators': 692, 'max_depth': 10.972220834598708}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:34:43,603] Trial 256 finished with value: 0.6231751387864926 and parameters: {'criterion': 'log_loss', 'min_samples_split': 3563, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 599, 'max_depth': 1.2181063632263631}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:34:45,283] Trial 257 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 6916, 'min_samples_leaf': 5, 'max_features': 'log2', 'n_estimators': 647, 'max_depth': 1.13729468132848}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:34:48,050] Trial 258 finished with value: 0.6319083851616603 and parameters: {'criterion': 'entropy', 'min_samples_split': 2829, 'min_samples_leaf': 5, 'max_features': 'log2', 'n_estimators': 634, 'max_depth': 1.4035829253448693}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:34:50,754] Trial 259 finished with value: 0.6084877155837856 and parameters: {'criterion': 'entropy', 'min_samples_split': 2852, 'min_samples_leaf': 5, 'max_features': 'log2', 'n_estimators': 612, 'max_depth': 1.426828437690871}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:34:53,600] Trial 260 finished with value: 0.6034837142479065 and parameters: {'criterion': 'entropy', 'min_samples_split': 1552, 'min_samples_leaf': 5, 'max_features': 'log2', 'n_estimators': 684, 'max_depth': 1.206327914667902}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:34:56,361] Trial 261 finished with value: 0.6115827646395331 and parameters: {'criterion': 'entropy', 'min_samples_split': 2812, 'min_samples_leaf': 5, 'max_features': 'log2', 'n_estimators': 640, 'max_depth': 1.3878161332412373}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:34:59,519] Trial 262 finished with value: 0.6185713970648468 and parameters: {'criterion': 'entropy', 'min_samples_split': 3595, 'min_samples_leaf': 4, 'max_features': 'log2', 'n_estimators': 729, 'max_depth': 1.0068640760210026}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:35:02,036] Trial 263 finished with value: 0.6068182763379271 and parameters: {'criterion': 'entropy', 'min_samples_split': 1298, 'min_samples_leaf': 5, 'max_features': 'log2', 'n_estimators': 577, 'max_depth': 1.1662768297166983}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:35:04,773] Trial 264 finished with value: 0.6229375791602866 and parameters: {'criterion': 'log_loss', 'min_samples_split': 2473, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 641, 'max_depth': 1.4961079562127413}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:35:09,599] Trial 265 finished with value: 0.6095968732868297 and parameters: {'criterion': 'entropy', 'min_samples_split': 4793, 'min_samples_leaf': 5, 'max_features': 'log2', 'n_estimators': 1227, 'max_depth': 1.2747585428311288}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:35:15,911] Trial 266 finished with value: 0.6016596722055237 and parameters: {'criterion': 'entropy', 'min_samples_split': 966, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 936, 'max_depth': 3.7333559836231687}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:35:19,303] Trial 267 finished with value: 0.6079316559229223 and parameters: {'criterion': 'entropy', 'min_samples_split': 6274, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 772, 'max_depth': 19.448637916168273}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:35:23,590] Trial 268 finished with value: 0.5520421936142459 and parameters: {'criterion': 'entropy', 'min_samples_split': 2167, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'n_estimators': 708, 'max_depth': 1.6318481217480538}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:35:27,121] Trial 269 finished with value: 0.6025324045193041 and parameters: {'criterion': 'entropy', 'min_samples_split': 3477, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 603, 'max_depth': 2.09186141683834}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:35:29,975] Trial 270 finished with value: 0.6208743076428667 and parameters: {'criterion': 'entropy', 'min_samples_split': 874, 'min_samples_leaf': 5, 'max_features': 'log2', 'n_estimators': 674, 'max_depth': 1.004432118704346}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:35:34,445] Trial 271 finished with value: 0.6265887823966427 and parameters: {'criterion': 'entropy', 'min_samples_split': 5208, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1107, 'max_depth': 1.350990154672086}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:35:36,921] Trial 272 finished with value: 0.6186458471174628 and parameters: {'criterion': 'entropy', 'min_samples_split': 2009, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 545, 'max_depth': 1.1648148351704535}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:35:54,000] Trial 273 finished with value: 0.6084845964321948 and parameters: {'criterion': 'log_loss', 'min_samples_split': 4219, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 867, 'max_depth': 94.99254898072704}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:35:57,680] Trial 274 finished with value: 0.6041213129422737 and parameters: {'criterion': 'entropy', 'min_samples_split': 42, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 639, 'max_depth': 2.365892048089857}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:36:00,183] Trial 275 finished with value: 0.611344669401438 and parameters: {'criterion': 'entropy', 'min_samples_split': 3024, 'min_samples_leaf': 5, 'max_features': 'log2', 'n_estimators': 582, 'max_depth': 1.4984009925272976}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:36:03,219] Trial 276 finished with value: 0.6140450985210811 and parameters: {'criterion': 'entropy', 'min_samples_split': 1692, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 694, 'max_depth': 1.722271944811041}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:36:05,176] Trial 277 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 46766, 'min_samples_leaf': 7, 'max_features': 'log2', 'n_estimators': 814, 'max_depth': 1.1758993695121451}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:36:11,866] Trial 278 finished with value: 0.597452125749069 and parameters: {'criterion': 'entropy', 'min_samples_split': 2859, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 740, 'max_depth': 5.400940173976699}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:37:07,814] Trial 279 finished with value: 0.6298350945512518 and parameters: {'criterion': 'entropy', 'min_samples_split': 886, 'min_samples_leaf': 10, 'max_features': 'log2', 'n_estimators': 1356, 'max_depth': 1524.9010025435116}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:38:00,503] Trial 280 finished with value: 0.6321369023989112 and parameters: {'criterion': 'entropy', 'min_samples_split': 817, 'min_samples_leaf': 4, 'max_features': 'log2', 'n_estimators': 1165, 'max_depth': 821.5524421788485}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:38:50,687] Trial 281 finished with value: 0.6302320144678223 and parameters: {'criterion': 'entropy', 'min_samples_split': 1026, 'min_samples_leaf': 4, 'max_features': 'log2', 'n_estimators': 1185, 'max_depth': 716.1107487592241}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:39:39,906] Trial 282 finished with value: 0.6331689319898927 and parameters: {'criterion': 'entropy', 'min_samples_split': 998, 'min_samples_leaf': 4, 'max_features': 'log2', 'n_estimators': 1172, 'max_depth': 510.20869161854023}. Best is trial 126 with value: 0.6393698368589198.
[I 2023-04-16 08:40:52,795] Trial 283 finished with value: 0.6306286193185756 and parameters: {'criterion': 'entropy', 'min_samples_split': 728, 'min_samples_leaf': 4, 'max_features': 'log2', 'n_estimators': 1401, 'max_depth': 991.5413053358363}. Best is trial 126 with value: 0.6393698368589198.
